Gas Station,Address,Link,Бензин A100,Бензин A95,Бензин A95+,Бензин A98,Дизел,Дизел премиум,Електричество,Метан,Пропан Бутан,Navigation links
  Витито,ул. Източна тангента,https://bg.fuelo.net/gasstation/id/2531?lang=bg,None,None,None,None,None,None,None,None,1.32 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.700096,23.387651&travelmode=driving"
 Power Oil София,ул. Илинденско въстание №15,https://bg.fuelo.net/gasstation/id/1702?lang=bg,None,2.65 лв/л.(kw/h),None,None,2.89 лв/л.(kw/h),None,None,None,None,"https://www.google.com/maps/dir/?api=1&destination=42.730801,23.297300&travelmode=driving"
 Go Petroleum Житница,ул. Житница №23,https://bg.fuelo.net/gasstation/id/1881?lang=bg,None,2.45 лв/л.(kw/h),None,None,2.81 лв/л.(kw/h),None,None,None,None,"https://www.google.com/maps/dir/?api=1&destination=42.683704,23.276924&travelmode=driving"
 Go Petroleum Студентски град,ул. акад. Стефан Младенов №16,https://bg.fuelo.net/gasstation/id/1986?lang=bg,None,2.59 лв/л.(kw/h),None,None,2.90 лв/л.(kw/h),None,None,None,None,"https://www.google.com/maps/dir/?api=1&destination=42.650055,23.346933&travelmode=driving"
 Бенита 14 София,бул. Европа №171 (ж.к. Люлин),https://bg.fuelo.net/gasstation/id/1634?lang=bg,None,2.66 лв/л.(kw/h),None,None,2.89 лв/л.(kw/h),3.03 лв/л.(kw/h),None,1.14 лв/л.(kw/h),3.42 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.729767,23.256170&travelmode=driving"
 Бенита 12 - София,ул. Самоковско шосе №1Ж,https://bg.fuelo.net/gasstation/id/1694?lang=bg,2.80 лв/л.(kw/h),2.57 лв/л.(kw/h),None,None,2.97 лв/л.(kw/h),3.08 лв/л.(kw/h),None,1.16 лв/л.(kw/h),None,"https://www.google.com/maps/dir/?api=1&destination=42.642601,23.402201&travelmode=driving"
 InterSpeed Модерно предградие,ул. 3019 №1,https://bg.fuelo.net/gasstation/id/2821?lang=bg,None,2.54 лв/л.(kw/h),None,None,2.86 лв/л.(kw/h),None,None,None,None,"https://www.google.com/maps/dir/?api=1&destination=42.721970,23.285326&travelmode=driving"
 InterSpeed Театър София,ул. Силистра №8,https://bg.fuelo.net/gasstation/id/1288?lang=bg,2.84 лв/л.(kw/h),2.50 лв/л.(kw/h),None,None,2.84 лв/л.(kw/h),None,None,None,None,"https://www.google.com/maps/dir/?api=1&destination=42.698601,23.346001&travelmode=driving"
 InterSpeed Ботевградско шосе,бул. Ботевградско шосе №2857,https://bg.fuelo.net/gasstation/id/1293?lang=bg,None,2.55 лв/л.(kw/h),None,None,2.90 лв/л.(kw/h),2.92 лв/л.(kw/h),None,None,1.14 лв/л.(kw/h),"https://www.google.com/maps/dir/?api=1&destination=42.708874,23.428160&travelmode=driving"
 InterSpeed Красна Поляна,ул. Методи Кусевич №1,https://bg.fuelo.net/gasstation/id/1297?lang=bg,None,2.51 лв/л.(kw/h),None,None,2.89 лв/л.(kw/h),None,None,None,None,"https://www.google.com/maps/dir/?api=1&destination=42.696499,23.281300&travelmode=driving"
