Gas Station,Address,Link,Бензин A100,Бензин A95,Бензин A95+,Бензин A98,Дизел,Дизел премиум,Електричество,Метан,Пропан Бутан,Navigation links
 Eldrive OMV Корабче,бул. Цариградско шосе,https://bg.fuelo.net/gasstation/id/81225?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.641529,23.404472&travelmode=driving"
 Eldrive OMV Малинова долина,ул. Околовръстен път,https://bg.fuelo.net/gasstation/id/81226?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.628860,23.344833&travelmode=driving"
 Eldrive Bricolage Цариградско,бул. Цариградско шосе №115,https://bg.fuelo.net/gasstation/id/64842?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.663876,23.378134&travelmode=driving"
 Eldrive Музейко,ул. Професор Боян Каменов №3,https://bg.fuelo.net/gasstation/id/64843?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.659969,23.354874&travelmode=driving"
 Eldrive ВМВ,ул. Никола Габровски №20,https://bg.fuelo.net/gasstation/id/64844?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.661983,23.347450&travelmode=driving"
 Eldrive Минно-геоложки университет,ул. проф. Боян Каменов,https://bg.fuelo.net/gasstation/id/64845?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.659267,23.353230&travelmode=driving"
 Eldrive Фантастико Г.М. Димитров,бул. Доктор Г. М. Димитров №77,https://bg.fuelo.net/gasstation/id/64846?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.658627,23.346973&travelmode=driving"
 Eldrive Малеева,бул. Никола Й. Вапцаров №57,https://bg.fuelo.net/gasstation/id/64847?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.667713,23.328272&travelmode=driving"
 Eldrive Expo 2000,бул. Никола Й. Вапцаров №55,https://bg.fuelo.net/gasstation/id/64848?lang=bg,None,None,None,None,None,None,0.70 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.667164,23.326239&travelmode=driving"
 Eldrive Siven,бул.Черни Връх №47,https://bg.fuelo.net/gasstation/id/64849?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.662472,23.319050&travelmode=driving"
 Eldrive Автомивка Сребърна,ул. Сребърна №28,https://bg.fuelo.net/gasstation/id/64850?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.659195,23.324667&travelmode=driving"
 Eldrive FPI Business Center,бул. Черни връх №51Б,https://bg.fuelo.net/gasstation/id/64851?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.659222,23.317251&travelmode=driving"
 Eldrive Фантастико Драгалевци,бул. Черни връх №204,https://bg.fuelo.net/gasstation/id/64853?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.640266,23.311504&travelmode=driving"
 Eldrive Филмово студио Ню Бояна,ул. Кумата №84,https://bg.fuelo.net/gasstation/id/64854?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.641457,23.293045&travelmode=driving"
 Eldrive Billa България ,бул. България №55,https://bg.fuelo.net/gasstation/id/64855?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.665810,23.288918&travelmode=driving"
 Eldrive Mall Bulgaria,бул. България №69,https://bg.fuelo.net/gasstation/id/64856?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.664307,23.288286&travelmode=driving"
 Eldrive Национален исторически музей,НИМ паркинг,https://bg.fuelo.net/gasstation/id/64857?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.656918,23.271467&travelmode=driving"
 Eldrive Фантастико Любляна,ул. Любляна №42А,https://bg.fuelo.net/gasstation/id/64859?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.670818,23.258070&travelmode=driving"
 Eldrive Спортна база Бояна,ул. Асен Георгиев №31,https://bg.fuelo.net/gasstation/id/64860?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.641033,23.279814&travelmode=driving"
 Eldrive Kambanite Green Offices,ул. Витошки Камбани №9,https://bg.fuelo.net/gasstation/id/64861?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.621891,23.378588&travelmode=driving"
 Eldrive Siteground,ул. Олимпийска,https://bg.fuelo.net/gasstation/id/64862?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.622902,23.368507&travelmode=driving"
 Eldrive Residential park,"София парк, Търговска зона",https://bg.fuelo.net/gasstation/id/64864?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.621212,23.368856&travelmode=driving"
 Eldrive IKEA,ул. Околовръстен път №216,https://bg.fuelo.net/gasstation/id/64865?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.623104,23.356199&travelmode=driving"
 Eldrive Ring Mall Sofia,ул. Околовръстен път №214 (подземен паркинг),https://bg.fuelo.net/gasstation/id/64866?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.625370,23.351198&travelmode=driving"
 Eldrive Фантастико Банкя,ул. Иванянско шосе №2,https://bg.fuelo.net/gasstation/id/64868?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.716499,23.170658&travelmode=driving"
 Eldrive Paradise Center,бул. Черни връх №100,https://bg.fuelo.net/gasstation/id/64919?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.657982,23.315922&travelmode=driving"
 Eldrive д-р Щерев медицински комплекс, ул. Христо Благоев №25,https://bg.fuelo.net/gasstation/id/64921?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.700352,23.287678&travelmode=driving"
 Eldrive Park Lane Office Center,ул. Сребърна №21,https://bg.fuelo.net/gasstation/id/65016?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.659916,23.321556&travelmode=driving"
 Eldrive Kitchen 59,бул. „Цар Борис III“ 59,https://bg.fuelo.net/gasstation/id/65017?lang=bg,None,None,None,None,None,None,0.90 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.681362,23.290110&travelmode=driving"
 FINES Rila Solutions БАН,БАН IV км,https://bg.fuelo.net/gasstation/id/65049?lang=bg,None,None,None,None,None,None,0.95 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.674908,23.367689&travelmode=driving"
 FINES Pulse Bulgaria,бул. България №132,https://bg.fuelo.net/gasstation/id/65065?lang=bg,None,None,None,None,None,None,0.95 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.655617,23.281149&travelmode=driving"
 FINES Petrol Каблешков,бул. Тодор Каблешков,https://bg.fuelo.net/gasstation/id/65325?lang=bg,None,None,None,None,None,None,0.95 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.659504,23.298954&travelmode=driving"
 FINES Sofia Tech Park,бул. Цариградско шосе №111E,https://bg.fuelo.net/gasstation/id/83247?lang=bg,None,None,None,None,None,None,0.95 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.667896,23.375246&travelmode=driving"
 FINES Garitage Park,ул. Донка Ушлинова №2 (Малинова долина),https://bg.fuelo.net/gasstation/id/65073?lang=bg,None,None,None,None,None,None,0.95 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.622879,23.371937&travelmode=driving"
 FINES Hyundai София,бул. Околовръстен път №260,https://bg.fuelo.net/gasstation/id/83253?lang=bg,None,None,None,None,None,None,0.95 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.622856,23.379679&travelmode=driving"
 FINES Младост 1,ул. Димитър Моллов №5,https://bg.fuelo.net/gasstation/id/64896?lang=bg,None,None,None,None,None,None,0.95 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.661396,23.372131&travelmode=driving"
 FINES Megalan Студентски,ул. Йордан Йосифов,https://bg.fuelo.net/gasstation/id/64900?lang=bg,None,None,None,None,None,None,0.95 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.654026,23.345573&travelmode=driving"
 FINES Pulse Младост,ул. Софийски околовръстен път №251А (ж.к. Младост 4),https://bg.fuelo.net/gasstation/id/65223?lang=bg,None,None,None,None,None,None,0.95 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.624435,23.372894&travelmode=driving"
 FINES Технострой Дружба 1,,https://bg.fuelo.net/gasstation/id/85199?lang=bg,None,None,None,None,None,None,0.95 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.656273,23.406332&travelmode=driving"
 FINES Порше София Запад,бул. Европа №447,https://bg.fuelo.net/gasstation/id/82172?lang=bg,None,None,None,None,None,None,0.95 лв/л.(kw/h),None,None,"https://www.google.com/maps/dir/?api=1&destination=42.743980,23.229982&travelmode=driving"
